,precision,recall,f1-score,support
Acne,0.13541666666666666,0.4,0.20233463035019456,65.0
Actinic_Keratosis,0.12408759124087591,0.20481927710843373,0.15454545454545454,83.0
Benign_tumors,0.19931271477663232,0.4793388429752066,0.2815533980582524,121.0
Bullous,0.125,0.12727272727272726,0.12612612612612611,55.0
Candidiasis,0.3333333333333333,0.14814814814814814,0.20512820512820512,27.0
DrugEruption,0.18181818181818182,0.13114754098360656,0.1523809523809524,61.0
Eczema,0.24025974025974026,0.33035714285714285,0.2781954887218045,112.0
Infestations_Bites,0.12121212121212122,0.06666666666666667,0.08602150537634409,60.0
Lichen,0.32432432432432434,0.19672131147540983,0.24489795918367346,61.0
Lupus,0.0,0.0,0.0,34.0
Moles,0.11538461538461539,0.15,0.13043478260869565,40.0
Psoriasis,0.24096385542168675,0.22727272727272727,0.23391812865497075,88.0
Rosacea,0.3333333333333333,0.10714285714285714,0.16216216216216217,28.0
Seborrh_Keratoses,0.2549019607843137,0.2549019607843137,0.2549019607843137,51.0
SkinCancer,0.06060606060606061,0.025974025974025976,0.03636363636363636,77.0
Sun_Sunlight_Damage,0.21428571428571427,0.08823529411764706,0.125,34.0
Tinea,0.21518987341772153,0.16666666666666666,0.1878453038674033,102.0
Unknown_Normal,0.577922077922078,0.4708994708994709,0.5189504373177842,189.0
Vascular_Tumors,0.16666666666666666,0.03333333333333333,0.05555555555555555,60.0
Vasculitis,0.2777777777777778,0.09615384615384616,0.14285714285714285,52.0
Vitiligo,0.75,0.14634146341463414,0.24489795918367346,82.0
Warts,0.22,0.171875,0.19298245614035087,64.0
accuracy,0.23027166882276842,0.23027166882276842,0.23027166882276842,0.23027166882276842
macro avg,0.2368998458741747,0.18287583196576654,0.1825933293348498,1546.0
weighted avg,0.26873008110565444,0.23027166882276842,0.22244798022468168,1546.0
