,precision,recall,f1-score,support
Acne,0.10743801652892562,0.2,0.13978494623655913,65.0
Actinic_Keratosis,0.14285714285714285,0.012048192771084338,0.022222222222222223,83.0
Benign_tumors,0.14285714285714285,0.024793388429752067,0.04225352112676056,121.0
Bullous,0.18181818181818182,0.07272727272727272,0.1038961038961039,55.0
Candidiasis,0.0761904761904762,0.2962962962962963,0.12121212121212122,27.0
DrugEruption,0.15151515151515152,0.08196721311475409,0.10638297872340426,61.0
Eczema,0.2814814814814815,0.3392857142857143,0.3076923076923077,112.0
Infestations_Bites,0.0,0.0,0.0,60.0
Lichen,0.1111111111111111,0.04918032786885246,0.06818181818181818,61.0
Lupus,0.09375,0.08823529411764706,0.09090909090909091,34.0
Moles,0.041666666666666664,0.025,0.03125,40.0
Psoriasis,0.26,0.14772727272727273,0.18840579710144928,88.0
Rosacea,0.13970588235294118,0.6785714285714286,0.23170731707317074,28.0
Seborrh_Keratoses,0.16766467065868262,0.5490196078431373,0.25688073394495414,51.0
SkinCancer,0.09375,0.03896103896103896,0.05504587155963303,77.0
Sun_Sunlight_Damage,0.10526315789473684,0.11764705882352941,0.1111111111111111,34.0
Tinea,0.16666666666666666,0.0392156862745098,0.06349206349206349,102.0
Unknown_Normal,0.46621621621621623,0.7301587301587301,0.5690721649484536,189.0
Vascular_Tumors,0.11764705882352941,0.06666666666666667,0.0851063829787234,60.0
Vasculitis,0.08974358974358974,0.1346153846153846,0.1076923076923077,52.0
Vitiligo,0.18461538461538463,0.14634146341463414,0.16326530612244897,82.0
Warts,0.16129032258064516,0.234375,0.1910828025477707,64.0
accuracy,0.2108667529107374,0.2108667529107374,0.2108667529107374,0.2108667529107374
macro avg,0.14923856002630329,0.1851287744394412,0.13893849858056703,1546.0
weighted avg,0.1869505324771262,0.2108667529107374,0.17401039106995228,1546.0
