,precision,recall,f1-score,support
Acne,0.23943661971830985,0.26153846153846155,0.25,65.0
Actinic_Keratosis,0.23809523809523808,0.18072289156626506,0.2054794520547945,83.0
Benign_tumors,0.1978021978021978,0.1487603305785124,0.16981132075471697,121.0
Bullous,0.14516129032258066,0.16363636363636364,0.15384615384615385,55.0
Candidiasis,0.15,0.2222222222222222,0.1791044776119403,27.0
DrugEruption,0.2777777777777778,0.32786885245901637,0.3007518796992481,61.0
Eczema,0.2948717948717949,0.20535714285714285,0.24210526315789474,112.0
Infestations_Bites,0.11538461538461539,0.15,0.13043478260869565,60.0
Lichen,0.125,0.13114754098360656,0.128,61.0
Lupus,0.13157894736842105,0.14705882352941177,0.1388888888888889,34.0
Moles,0.10144927536231885,0.175,0.12844036697247707,40.0
Psoriasis,0.20689655172413793,0.20454545454545456,0.2057142857142857,88.0
Rosacea,0.14634146341463414,0.21428571428571427,0.17391304347826086,28.0
Seborrh_Keratoses,0.25862068965517243,0.29411764705882354,0.27522935779816515,51.0
SkinCancer,0.13095238095238096,0.14285714285714285,0.13664596273291926,77.0
Sun_Sunlight_Damage,0.06349206349206349,0.11764705882352941,0.08247422680412371,34.0
Tinea,0.11594202898550725,0.0784313725490196,0.0935672514619883,102.0
Unknown_Normal,0.6230769230769231,0.42857142857142855,0.5078369905956113,189.0
Vascular_Tumors,0.13846153846153847,0.15,0.144,60.0
Vasculitis,0.10144927536231885,0.1346153846153846,0.11570247933884298,52.0
Vitiligo,0.3974358974358974,0.3780487804878049,0.3875,82.0
Warts,0.19736842105263158,0.234375,0.21428571428571427,64.0
accuracy,0.22121604139715395,0.22121604139715395,0.22121604139715395,0.22121604139715395
macro avg,0.19984522683256636,0.2041276187802411,0.1983514499002146,1546.0
weighted avg,0.2461003999593147,0.22121604139715395,0.22904964401244476,1546.0
