,precision,recall,f1-score,support
Acne,0.3026315789473684,0.35384615384615387,0.3262411347517731,65.0
Actinic_Keratosis,0.3709677419354839,0.27710843373493976,0.31724137931034485,83.0
Benign_tumors,0.22884012539184953,0.6033057851239669,0.33181818181818185,121.0
Bullous,1.0,0.23636363636363636,0.38235294117647056,55.0
Candidiasis,0.5833333333333334,0.25925925925925924,0.358974358974359,27.0
DrugEruption,0.6956521739130435,0.26229508196721313,0.38095238095238093,61.0
Eczema,0.24686192468619247,0.5267857142857143,0.33618233618233617,112.0
Infestations_Bites,0.5294117647058824,0.15,0.23376623376623376,60.0
Lichen,0.6666666666666666,0.13114754098360656,0.2191780821917808,61.0
Lupus,0.75,0.08823529411764706,0.15789473684210525,34.0
Moles,0.6666666666666666,0.3,0.41379310344827586,40.0
Psoriasis,0.3229166666666667,0.3522727272727273,0.33695652173913043,88.0
Rosacea,0.875,0.25,0.3888888888888889,28.0
Seborrh_Keratoses,0.5384615384615384,0.4117647058823529,0.4666666666666667,51.0
SkinCancer,0.24,0.07792207792207792,0.11764705882352941,77.0
Sun_Sunlight_Damage,1.0,0.08823529411764706,0.16216216216216217,34.0
Tinea,0.34065934065934067,0.30392156862745096,0.32124352331606215,102.0
Unknown_Normal,0.42574257425742573,0.91005291005291,0.5801011804384486,189.0
Vascular_Tumors,0.6666666666666666,0.06666666666666667,0.12121212121212122,60.0
Vasculitis,0.4,0.07692307692307693,0.12903225806451613,52.0
Vitiligo,0.575,0.2804878048780488,0.3770491803278688,82.0
Warts,0.5172413793103449,0.234375,0.3225806451612903,64.0
accuracy,0.3641655886157827,0.3641655886157827,0.3641655886157827,0.3641655886157827
macro avg,0.5428509155576577,0.28368039691023156,0.3082697761915875,1546.0
weighted avg,0.473937024877003,0.3641655886157827,0.3334281293108941,1546.0
