class,resnet18_precision,resnet18_recall,resnet18_f1,effnet_precision,effnet_recall,effnet_f1,f1_delta
Tinea,0.5714285714285714,0.6274509803921569,0.5981308411214953,0.5894736842105263,0.5490196078431373,0.5685279187817259,-0.029602922339769355
Infestations_Bites,0.673469387755102,0.55,0.6055045871559633,0.5396825396825397,0.5666666666666667,0.5528455284552846,-0.052659058700678774
Vascular_Tumors,0.6271186440677966,0.6166666666666667,0.6218487394957983,0.5769230769230769,0.5,0.5357142857142857,-0.08613445378151263
Vasculitis,0.5714285714285714,0.6923076923076923,0.6260869565217392,0.5737704918032787,0.6730769230769231,0.6194690265486725,-0.00661792997306665
Candidiasis,0.6,0.6666666666666666,0.631578947368421,0.5555555555555556,0.7407407407407407,0.6349206349206349,0.003341687552213868
Lichen,0.7555555555555555,0.5573770491803278,0.6415094339622641,0.7333333333333333,0.5409836065573771,0.6226415094339622,-0.018867924528301883
DrugEruption,0.7446808510638298,0.5737704918032787,0.6481481481481481,0.703125,0.7377049180327869,0.72,0.07185185185185183
Bullous,0.6428571428571429,0.6545454545454545,0.6486486486486487,0.6792452830188679,0.6545454545454545,0.6666666666666666,0.018018018018017945
Eczema,0.6728971962616822,0.6428571428571429,0.6575342465753424,0.6016949152542372,0.6339285714285714,0.6173913043478261,-0.040142942227516354
Psoriasis,0.691358024691358,0.6363636363636364,0.6627218934911243,0.6,0.6818181818181818,0.6382978723404256,-0.02442402115069875
Benign_tumors,0.6535433070866141,0.6859504132231405,0.6693548387096774,0.7346938775510204,0.5950413223140496,0.6575342465753424,-0.01182059213433495
SkinCancer,0.7105263157894737,0.7012987012987013,0.7058823529411765,0.6666666666666666,0.6753246753246753,0.6709677419354839,-0.0349146110056926
Actinic_Keratosis,0.6770833333333334,0.7831325301204819,0.7262569832402235,0.7654320987654321,0.7469879518072289,0.7560975609756098,0.029840577735386287
Warts,0.6753246753246753,0.8125,0.7375886524822695,0.6891891891891891,0.796875,0.7391304347826086,0.0015417823003391895
Rosacea,0.7058823529411765,0.8571428571428571,0.7741935483870968,0.7741935483870968,0.8571428571428571,0.8135593220338984,0.039365773646801605
Seborrh_Keratoses,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.6842105263157895,0.7647058823529411,0.7222222222222222,-0.06209150326797386
Acne,0.8412698412698413,0.8153846153846154,0.828125,0.8709677419354839,0.8307692307692308,0.8503937007874016,0.02226870078740162
Vitiligo,0.986842105263158,0.9146341463414634,0.9493670886075948,0.9506172839506172,0.9390243902439024,0.9447852760736196,-0.00458181253397516
