,precision,recall,f1-score,support
Acne,0.8709677419354839,0.8307692307692308,0.8503937007874016,65.0
Actinic_Keratosis,0.7654320987654321,0.7469879518072289,0.7560975609756098,83.0
Benign_tumors,0.7346938775510204,0.5950413223140496,0.6575342465753424,121.0
Bullous,0.6792452830188679,0.6545454545454545,0.6666666666666666,55.0
Candidiasis,0.5555555555555556,0.7407407407407407,0.6349206349206349,27.0
DrugEruption,0.703125,0.7377049180327869,0.72,61.0
Eczema,0.6016949152542372,0.6339285714285714,0.6173913043478261,112.0
Infestations_Bites,0.5396825396825397,0.5666666666666667,0.5528455284552846,60.0
Lichen,0.7333333333333333,0.5409836065573771,0.6226415094339622,61.0
Psoriasis,0.6,0.6818181818181818,0.6382978723404256,88.0
Rosacea,0.7741935483870968,0.8571428571428571,0.8135593220338984,28.0
Seborrh_Keratoses,0.6842105263157895,0.7647058823529411,0.7222222222222222,51.0
SkinCancer,0.6666666666666666,0.6753246753246753,0.6709677419354839,77.0
Tinea,0.5894736842105263,0.5490196078431373,0.5685279187817259,102.0
Vascular_Tumors,0.5769230769230769,0.5,0.5357142857142857,60.0
Vasculitis,0.5737704918032787,0.6730769230769231,0.6194690265486725,52.0
Vitiligo,0.9506172839506173,0.9390243902439024,0.9447852760736196,82.0
Warts,0.6891891891891891,0.796875,0.7391304347826086,64.0
accuracy,0.6813450760608487,0.6813450760608487,0.6813450760608487,0.6813450760608487
macro avg,0.6827097118079285,0.6935753322591514,0.685064736255315,1249.0
weighted avg,0.6854579177716361,0.6813450760608487,0.6806982414536128,1249.0
