,precision,recall,f1-score,support
Acne,0.8412698412698413,0.8153846153846154,0.828125,65.0
Actinic_Keratosis,0.6770833333333334,0.7831325301204819,0.7262569832402235,83.0
Benign_tumors,0.6535433070866141,0.6859504132231405,0.6693548387096774,121.0
Bullous,0.6428571428571429,0.6545454545454545,0.6486486486486487,55.0
Candidiasis,0.6,0.6666666666666666,0.631578947368421,27.0
DrugEruption,0.7446808510638298,0.5737704918032787,0.6481481481481481,61.0
Eczema,0.6728971962616822,0.6428571428571429,0.6575342465753424,112.0
Infestations_Bites,0.673469387755102,0.55,0.6055045871559633,60.0
Lichen,0.7555555555555555,0.5573770491803278,0.6415094339622641,61.0
Psoriasis,0.691358024691358,0.6363636363636364,0.6627218934911243,88.0
Rosacea,0.7058823529411765,0.8571428571428571,0.7741935483870968,28.0
Seborrh_Keratoses,0.7843137254901961,0.7843137254901961,0.7843137254901961,51.0
SkinCancer,0.7105263157894737,0.7012987012987013,0.7058823529411765,77.0
Tinea,0.5714285714285714,0.6274509803921569,0.5981308411214953,102.0
Vascular_Tumors,0.6271186440677966,0.6166666666666667,0.6218487394957983,60.0
Vasculitis,0.5714285714285714,0.6923076923076923,0.6260869565217392,52.0
Vitiligo,0.9868421052631579,0.9146341463414634,0.9493670886075949,82.0
Warts,0.6753246753246753,0.8125,0.7375886524822695,64.0
accuracy,0.6941553242594075,0.6941553242594075,0.6941553242594075,0.6941553242594075
macro avg,0.6991988667560043,0.6984645983213599,0.6953774795748432,1249.0
weighted avg,0.6996694141566329,0.6941553242594075,0.6939562648426351,1249.0
